City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ardakan,32.31,54.0175,300.66,14,1,4.48,IR,1683044891
1,georgetown,5.4112,100.3354,300.11,93,20,1.54,MY,1683044892
2,lepsy,46.235,78.9456,279.83,31,55,8.85,KZ,1683044892
3,wailua homesteads,22.0669,-159.378,294.59,90,40,1.54,US,1683044892
4,fuglafjordur,62.244,-6.814,278.41,67,100,3.28,FO,1683044893
5,invercargill,-46.4,168.35,287.39,93,100,1.01,NZ,1683044893
6,grytviken,-54.2811,-36.5092,274.19,87,99,5.82,GS,1683044893
7,avarua,-21.2078,-159.775,295.18,83,75,3.6,CK,1683044893
8,egbe,8.2167,5.5167,307.66,31,98,2.79,NG,1683044894
9,west island,-12.1568,96.8225,300.14,89,40,7.2,CC,1683044894
10,college,64.8569,-147.8028,275.98,85,75,2.06,US,1683044894
11,adamstown,-25.066,-130.1015,298.14,74,6,7.35,PN,1683044895
12,port-aux-francais,-49.35,70.2167,277.03,80,86,8.81,TF,1683044895
13,byron bay,-28.65,153.6167,287.43,64,100,2.97,AU,1683044689
14,tiksi,71.6872,128.8694,259.29,97,96,3.13,RU,1683044896
15,khagrachhari,23.1,91.9667,297.53,64,0,0.96,BD,1683044896
16,margaret river,-33.95,115.0667,284.82,87,0,4.03,AU,1683044897
17,olonkinbyen,70.9221,-8.7187,271.31,56,42,1.39,SJ,1683044897
18,bilibino,68.0546,166.4372,253.17,93,40,2.1,RU,1683044898
19,ancud,-41.8697,-73.8203,282.92,72,21,1.83,CL,1683044898
20,el granada,37.5027,-122.4694,285.5,86,0,4.12,US,1683044899
21,papatowai,-46.5619,169.4708,287.38,86,100,1.93,NZ,1683044899
22,isafjordur,66.0755,-23.124,278.17,56,20,6.17,IS,1683044899
23,'ain benian,36.8028,2.9219,297.18,55,21,5.26,DZ,1683044900
24,ushuaia,-54.8,-68.3,280.96,71,75,2.06,AR,1683044900
25,qaqortoq,60.7167,-46.0333,277.85,58,99,1.1,GL,1683044900
26,bushehr,28.9684,50.8385,301.2,44,0,9.77,IR,1683044901
27,cadiz,36.5,-5.75,303.83,22,100,6.49,ES,1683044901
28,minas de marcona,-15.2119,-75.1103,292.98,61,17,7.67,PE,1683044901
29,bredasdorp,-34.5322,20.0403,288.84,80,95,2.71,ZA,1683044901
30,puerto ayora,-0.7393,-90.3518,304.13,85,7,1.79,EC,1683044902
31,kiunga,-6.1219,141.2906,296.7,100,100,0.95,PG,1683044902
32,halifax,44.6453,-63.5724,280.2,92,100,6.71,CA,1683044717
